date,sku_name,sales,store
2013-01-01,Effortless Pant,49,1
2013-01-02,Effortless Pant,39,1
2013-01-03,Effortless Pant,57,1
2013-01-04,Effortless Pant,46,1
2013-01-05,Effortless Pant,45,1
2013-01-06,Effortless Pant,55,1
2013-01-07,Effortless Pant,44,1
2013-01-08,Effortless Pant,42,1
2013-01-09,Effortless Pant,43,1
2013-01-10,Effortless Pant,54,1
2013-01-11,Effortless Pant,45,1
2013-01-12,Effortless Pant,58,1
2013-01-13,Effortless Pant,62,1
2013-01-14,Effortless Pant,45,1
2013-01-15,Effortless Pant,39,1
2013-01-16,Effortless Pant,49,1
2013-01-17,Effortless Pant,43,1
2013-01-18,Effortless Pant,50,1
2013-01-19,Effortless Pant,41,1
2013-01-20,Effortless Pant,50,1
2013-01-21,Effortless Pant,37,1
2013-01-22,Effortless Pant,48,1
2013-01-23,Effortless Pant,45,1
2013-01-24,Effortless Pant,49,1
2013-01-25,Effortless Pant,50,1
2013-01-26,Effortless Pant,43,1
2013-01-27,Effortless Pant,58,1
2013-01-28,Effortless Pant,36,1
2013-01-29,Effortless Pant,42,1
2013-01-30,Effortless Pant,36,1
2013-01-31,Effortless Pant,48,1
2013-02-01,Effortless Pant,59,1
2013-02-02,Effortless Pant,60,1
2013-02-03,Effortless Pant,70,1
2013-02-04,Effortless Pant,45,1
2013-02-05,Effortless Pant,46,1
2013-02-06,Effortless Pant,39,1
2013-02-07,Effortless Pant,54,1
2013-02-08,Effortless Pant,61,1
2013-02-09,Effortless Pant,50,1
2013-02-10,Effortless Pant,50,1
2013-02-11,Effortless Pant,37,1
2013-02-12,Effortless Pant,51,1
2013-02-13,Effortless Pant,42,1
2013-02-14,Effortless Pant,44,1
2013-02-15,Effortless Pant,47,1
2013-02-16,Effortless Pant,52,1
2013-02-17,Effortless Pant,67,1
2013-02-18,Effortless Pant,44,1
2013-02-19,Effortless Pant,49,1
2013-02-20,Effortless Pant,44,1
2013-02-21,Effortless Pant,48,1
